Provincias;Municipios;Sexo;Edad;Total
05 Ávila;05036 Bohodón, El;Total;De 80 a 84 años;4
05 Ávila;05036 Bohodón, El;Total;De 85 a 89 años;11
05 Ávila;05036 Bohodón, El;Total;De 90 a 94 años;2
05 Ávila;05036 Bohodón, El;Total;De 95 a 99 años;2
05 Ávila;05036 Bohodón, El;Total;100 y más años;0
05 Ávila;05037 Bohoyo;Total;De 65 a 69 años;16
05 Ávila;05037 Bohoyo;Total;De 70 a 74 años;17
05 Ávila;05037 Bohoyo;Total;De 75 a 79 años;15
05 Ávila;05037 Bohoyo;Total;De 80 a 84 años;19
05 Ávila;05037 Bohoyo;Total;De 85 a 89 años;9
05 Ávila;05037 Bohoyo;Total;De 90 a 94 años;17
05 Ávila;05037 Bohoyo;Total;De 95 a 99 años;3
05 Ávila;05037 Bohoyo;Total;100 y más años;1
05 Ávila;05038 Bonilla de la Sierra;Total;De 65 a 69 años;15
05 Ávila;05038 Bonilla de la Sierra;Total;De 70 a 74 años;13
05 Ávila;05038 Bonilla de la Sierra;Total;De 75 a 79 años;7
05 Ávila;05038 Bonilla de la Sierra;Total;De 80 a 84 años;4
05 Ávila;05038 Bonilla de la Sierra;Total;De 85 a 89 años;9
05 Ávila;05038 Bonilla de la Sierra;Total;De 90 a 94 años;6
05 Ávila;05038 Bonilla de la Sierra;Total;De 95 a 99 años;2
05 Ávila;05038 Bonilla de la Sierra;Total;100 y más años;1
05 Ávila;05039 Brabos;Total;De 65 a 69 años;3
05 Ávila;05039 Brabos;Total;De 70 a 74 años;2
05 Ávila;05039 Brabos;Total;De 75 a 79 años;4
05 Ávila;05039 Brabos;Total;De 80 a 84 años;4
05 Ávila;05039 Brabos;Total;De 85 a 89 años;0
05 Ávila;05039 Brabos;Total;De 90 a 94 años;2
05 Ávila;05039 Brabos;Total;De 95 a 99 años;3
05 Ávila;05039 Brabos;Total;100 y más años;0
05 Ávila;05040 Bularros;Total;De 65 a 69 años;3
05 Ávila;05040 Bularros;Total;De 70 a 74 años;4
05 Ávila;05040 Bularros;Total;De 75 a 79 años;5
