ID|TIPO_VIA|NOMBRE_VIA|PORTAL1|PORTAL2|CODPOSTAL|COD_INE_MUNICIPIO|PROVINCIA|MUNICIPIO|POBLACION|LATITUD_WGS84_4326|LONGITUD_WGS84_4326
34-E1-00058||CALLE SAN LUIS|10||34880|34080|PALENCIA|GUARDO|GUARDO||
34-E1-00059||AVDA ASTURIAS|9||34005|34120|PALENCIA|PALENCIA|PALENCIA||
34-E1-00060||AVDA MANUEL RIVERA|19||34002|34120|PALENCIA|PALENCIA|PALENCIA||
34-E1-00063||CALLE MAYOR|S-N||34410|34108|PALENCIA|MONZÓN DE CAMPOS|MONZON DE CAMPOS||
34-E1-00064||CALLE DON PELAYO|18|||34120|PALENCIA|PALENCIA|PALENCIA||
34-E1-00069||AVDA ESTACION|36||34200|34023|PALENCIA|VENTA DE BAÑOS|VENTA DE BAÑOS||
34-E1-00071||PLAZA LEON (DE)|S-N||34005|34120|PALENCIA|PALENCIA|PALENCIA||
34-E1-00074||PLAZA DOS DE MAYO|21||34341|34232|PALENCIA|VILLARRAMIEL|VILLARRAMIEL||
34-E1-00075||CALLE ABILIO CALDERON|13||34419|34088|PALENCIA|HUSILLOS|HUSILLOS||
34-E1-00079||AVDA VALLADOLID|4||34004|34120|PALENCIA|PALENCIA|PALENCIA||
34-E1-00089||AVDA REPUBLICA ARGENTINA|11||34002|34120|PALENCIA|PALENCIA|PALENCIA||
34-E1-00090||AVDA SIMON NIETO|29||34005|34120|PALENCIA|PALENCIA|PALENCIA||
34-E1-00091||AVDA MODESTO LAFUENTE|2||34002|34120|PALENCIA|PALENCIA|PALENCIA||
34-E1-00096||PLAZA MARQUES DE ESTELLA|2||34337|34076|PALENCIA|FUENTES DE NAVA|FUENTES DE NAVA||
34-E1-00097||AVDA BAÑOS|9||34200|34023|PALENCIA|VENTA DE BAÑOS|VENTA DE BAÑOS||
34-E1-00099||AVDA DERECHOS HUMANOS (DE LOS)|11||34003|34120|PALENCIA|PALENCIA|PALENCIA||
37-E1-00001||CALLE MAYOR DE PARDIÑAS|59||37700|37046|SALAMANCA|BÉJAR|BEJAR||
37-E1-00006||AVDA VILLAMAYOR|28||37007|37274|SALAMANCA|SALAMANCA|SALAMANCA||
